ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
RYF,10,10,1.0,0.975156,0.975156,1.0,0.0002,0.0117,0.939453,iex_side_unstable
RYH,10,10,9.999097,9.891037,0.989193,10.0,0.0028,0.0158,0.952281,iex_side_unstable
RYT,10,10,10.0,9.923382,0.992338,10.0,0.0008,0.0235,0.959413,iex_side_unstable
RYU,10,10,1.999332,1.944867,0.972759,2.0,0.0045,0.0105,0.976975,iex_side_unstable
RZG,10,10,3.002768,0.952191,0.317104,3.0,0.0121,0.011,0.319717,pit_side_unstable;iex_side_unstable
RZV,10,10,1.0,0.942154,0.942154,1.0,0.0007,0.01,0.922275,
SAA,10,10,,,,,,,,no_overlap_with_yahoo
SAGG,10,0,,,,,,,,no_seam_window
SAVE,10,10,,,,,,,,no_yahoo_history
SBAC,10,10,1.0,0.934862,0.934862,1.0,0.0008,0.0031,0.936118,
SBB,10,10,,,,,,,,no_overlap_with_yahoo
SBNY,10,10,,,,,,,,no_yahoo_history
SBUX,10,10,1.0,0.906832,0.906832,1.0,0.0003,0.0007,0.851141,
SCC,10,10,0.250228,0.861174,3.441559,0.25,0.0273,0.0374,3.724405,pit_side_unstable;iex_side_unstable
SCCO,10,10,1.069887,0.850381,0.794832,,0.0004,0.0007,0.770419,P_not_canonical
SCHW,10,10,1.0,0.945534,0.945534,1.0,0.0005,0.0004,0.911047,
SCJ,10,10,0.999446,0.920387,0.920896,1.0,0.0026,0.0024,0.879547,
SCO,10,10,0.05,0.249918,4.998369,0.05,0.0027,0.0031,4.742133,
SCPR,10,0,,,,,,,,no_seam_window
